Art.code;Omschrijving;Brutoprijs;Korting;Nettoprijs;Per;Eenheid;Groepcode;Art.Fab.;Fabrikant;Type rooster;Breedte
303535;SLUITKASTJE DR.16C/3  TBV KANTESPAGNOLET;2.09;;1.04;1;st;11013;15650003;HABO;;
303550;RAAMGREEP HERMETA VERKROPT  110MM ALUMINIUM F1;9.18;;4.59;1;st;231;303550;BURGHOUWT;;
303555;RAAMPEN HERMETA INCL.KETTING  ALUMINIUM BLANK;5.23;;2.61;1;st;1141;303555;BURGHOUWT;;
304001;STOKHAAK VERZINKT  GEGALVANISEERD;587.00;;293.00;100;st;1146;85680.B001;BODEGRAVEN;;
305482;DROOGBEGLAZINGSPROFIEL DEVENTER  S5083;161.41;;104.92;100;st;656;2024703;DEVENTER;;
306104;SLUITKAST AXA ZAMAC/WIT VLAK 74X30MM  3307-85-68/E BUITENDRAAIEND;3.98;;1.99;1;st;1143;33078568E;AXA;;
306106;SLUITKAST AXA ZAMAC VLAK 74X30MM  3307-85-64/E BUITENDRAAIEND;1.90;;0.95;1;st;1143;33078564E;AXA;;
306109;SLUITKAST AXA ZAMAC MET VERZET 74X30MM  3307-87-64/E BUITENDRAAIEND (TOCHTSTRIP);4.38;;2.19;1;st;1143;33078764E;AXA;;
306127;SLUITHAAK AXA ENKEL AFGEROND 56X24MM  3303-92-23/E BINNENDRAAIEND;2.45;;1.22;1;st;1144;33039223E;AXA;;
306128;SLUITHAAK AXA DUBBEL AFGEROND 86X24MM  3303-93-23/E BINNENDRAAIEND (KIERSTAND);3.30;;1.65;1;st;1144;33039323E;AXA;;
306133;SLUITHAAK AXA DUBBEL 3318/19/20 SKG*  3319-93-22/E BINNENDRAAIEND (KIERSTAND);14.81;;7.40;1;st;1144;33199322E;AXA;;
306154;ONDERLEGPLAATJE AXA 6MM  TBV RAAMSLUITING (AXA/HOPPE);1.10;;0.55;1;st;1145;33056095E;AXA;;
306155;ONDERLEGPLAATJE AXA 9MM  TBV RAAMSLUITING (AXA/HOPPE);1.10;;0.55;1;st;1145;33059095E;AXA;;
